ip,app,device,os,channel,click_time,attributed_time,is_attributed
100212,17,1,185,280,2017-11-07 01:18:53,,0
7178,1,1,40,349,2017-11-06 17:06:59,,0
64187,9,1,20,334,2017-11-09 13:04:59,,0
48953,2,1,4,219,2017-11-07 01:23:56,,0
66184,8,1,19,145,2017-11-06 16:29:44,,0
160192,27,1,19,153,2017-11-07 00:24:32,,0
165979,3,1,19,379,2017-11-07 00:16:22,,0
212635,9,1,28,134,2017-11-07 00:21:21,,0
44744,2,1,13,219,2017-11-07 01:38:13,,0
5348,12,1,18,328,2017-11-09 13:43:36,,0
71692,18,1,17,107,2017-11-07 00:02:25,,0
17149,12,1,19,245,2017-11-06 19:19:59,,0
77658,2,1,13,469,2017-11-06 17:00:13,,0
87879,9,1,8,442,2017-11-06 23:52:27,,0
187875,14,1,19,449,2017-11-07 02:06:57,,0
175033,9,1,13,334,2017-11-07 00:48:32,,0
35905,2,1,13,237,2017-11-07 00:25:34,,0
129022,11,1,13,325,2017-11-07 00:04:34,,0
99722,9,1,15,334,2017-11-07 00:44:14,,0
70446,14,1,22,208,2017-11-07 00:36:33,,0
108160,17,1,13,128,2017-11-09 14:10:33,,0
112403,18,3032,607,107,2017-11-07 01:33:12,,0
364471,9,1,17,244,2017-11-09 14:25:59,,0
45478,3,1,22,424,2017-11-06 16:03:01,,0
92425,8,1,17,145,2017-11-06 21:48:52,,0
25092,12,1,19,19,2017-11-07 01:53:39,,0
24865,1,1,13,134,2017-11-06 17:49:32,,0
2076,25,1,13,259,2017-11-06 21:54:58,,0
60422,12,1,13,259,2017-11-06 18:27:05,,0
117524,6,1,17,125,2017-11-06 16:33:00,,0
121894,8,1,35,145,2017-11-09 14:07:00,,0
439,9,1,30,244,2017-11-09 14:53:58,,0
121269,27,1,13,122,2017-11-07 00:13:45,,0
73389,18,1,18,107,2017-11-07 00:48:19,,0
34021,15,1,25,315,2017-11-06 22:18:05,,0
43793,18,1,17,107,2017-11-09 13:35:36,,0
121352,14,1,9,349,2017-11-07 02:12:18,,0
11773,9,1,41,442,2017-11-07 01:17:13,,0
235425,12,1,13,140,2017-11-09 13:54:01,,0
103169,3,1,19,280,2017-11-07 02:02:47,,0
90905,23,1,6,30,2017-11-09 13:03:58,,0
2450,9,2,83,442,2017-11-09 14:55:06,,0
44645,15,1,19,245,2017-11-06 17:31:31,,0
36396,3,1,13,452,2017-11-09 14:00:21,,0
21245,13,1,19,477,2017-11-09 14:14:59,,0
91066,12,1,13,245,2017-11-06 16:43:47,,0
51784,2,1,13,477,2017-11-07 03:25:46,,0
147957,20,1,13,259,2017-11-07 03:56:07,,0
113543,9,1,17,334,2017-11-06 23:33:21,,0
41004,9,1,8,442,2017-11-09 13:14:16,,0
176666,12,1,3,19,2017-11-07 01:27:40,,0
114276,13,1,19,469,2017-11-09 13:01:15,,0
93122,3,1,13,135,2017-11-07 00:38:29,,0
41841,14,1,19,442,2017-11-06 19:07:12,,0
158491,18,1,17,107,2017-11-07 01:10:40,,0
111710,3,1,17,280,2017-11-07 00:29:27,,0
168178,18,1,6,107,2017-11-06 22:43:04,,0
61656,15,1,25,245,2017-11-06 23:52:43,,0
42621,2,1,13,258,2017-11-09 14:39:09,,0
131098,15,2,16,3,2017-11-06 16:04:49,,0
7275,14,1,8,467,2017-11-06 17:36:17,,0
17462,12,1,10,178,2017-11-07 00:35:36,,0
138657,9,1,27,244,2017-11-07 03:41:54,,0
106524,23,1,8,153,2017-11-07 00:53:25,,0
109544,14,1,17,208,2017-11-07 00:16:21,,0
164922,13,1,19,477,2017-11-06 19:28:19,,0
